#;SeasonStart;PlayerName;PlayerSalary;Pos;Age;Tm;FG%;PTS
100;;Jugador0099;;;;;100;99
99;;Jugador0098;;;;;100;98
98;;Jugador0097;;;;;100;97
97;;Jugador0096;;;;;100;96
96;;Jugador0095;;;;;100;95
95;;Jugador0094;;;;;100;94
94;;Jugador0093;;;;;100;93
93;;Jugador0092;;;;;100;92
92;;Jugador0091;;;;;100;91
91;;Jugador0090;;;;;100;90
90;;Jugador0089;;;;;100;89
89;;Jugador0088;;;;;100;88
88;;Jugador0087;;;;;100;87
87;;Jugador0086;;;;;100;86
86;;Jugador0085;;;;;100;85
85;;Jugador0084;;;;;100;84
84;;Jugador0083;;;;;100;83
83;;Jugador0082;;;;;100;82
82;;Jugador0081;;;;;100;81
81;;Jugador0080;;;;;100;80
80;;Jugador0079;;;;;100;79
79;;Jugador0078;;;;;100;78
78;;Jugador0077;;;;;100;77
77;;Jugador0076;;;;;100;76
76;;Jugador0075;;;;;100;75
75;;Jugador0074;;;;;100;74
74;;Jugador0073;;;;;100;73
73;;Jugador0072;;;;;100;72
72;;Jugador0071;;;;;100;71
71;;Jugador0070;;;;;100;70
70;;Jugador0069;;;;;100;69
69;;Jugador0068;;;;;100;68
68;;Jugador0067;;;;;100;67
67;;Jugador0066;;;;;100;66
66;;Jugador0065;;;;;100;65
65;;Jugador0064;;;;;100;64
64;;Jugador0063;;;;;100;63
63;;Jugador0062;;;;;100;62
62;;Jugador0061;;;;;100;61
61;;Jugador0060;;;;;100;60
60;;Jugador0059;;;;;100;59
59;;Jugador0058;;;;;100;58
58;;Jugador0057;;;;;100;57
57;;Jugador0056;;;;;100;56
56;;Jugador0055;;;;;100;55
55;;Jugador0054;;;;;100;54
54;;Jugador0053;;;;;100;53
53;;Jugador0052;;;;;100;52
52;;Jugador0051;;;;;100;51
51;;Jugador0050;;;;;100;50
50;;Jugador0049;;;;;100;49
49;;Jugador0048;;;;;100;48
48;;Jugador0047;;;;;100;47
47;;Jugador0046;;;;;100;46
46;;Jugador0045;;;;;100;45
45;;Jugador0044;;;;;100;44
44;;Jugador0043;;;;;100;43
43;;Jugador0042;;;;;100;42
42;;Jugador0041;;;;;100;41
41;;Jugador0040;;;;;100;40
40;;Jugador0039;;;;;100;39
39;;Jugador0038;;;;;100;38
38;;Jugador0037;;;;;100;37
37;;Jugador0036;;;;;100;36
36;;Jugador0035;;;;;100;35
35;;Jugador0034;;;;;100;34
34;;Jugador0033;;;;;100;33
33;;Jugador0032;;;;;100;32
32;;Jugador0031;;;;;100;31
31;;Jugador0030;;;;;100;30
30;;Jugador0029;;;;;100;29
29;;Jugador0028;;;;;100;28
28;;Jugador0027;;;;;100;27
27;;Jugador0026;;;;;100;26
26;;Jugador0025;;;;;100;25
25;;Jugador0024;;;;;100;24
24;;Jugador0023;;;;;100;23
23;;Jugador0022;;;;;100;22
22;;Jugador0021;;;;;100;21
21;;Jugador0020;;;;;100;20
20;;Jugador0019;;;;;100;19
19;;Jugador0018;;;;;100;18
18;;Jugador0017;;;;;100;17
17;;Jugador0016;;;;;100;16
16;;Jugador0015;;;;;100;15
15;;Jugador0014;;;;;100;14
14;;Jugador0013;;;;;100;13
13;;Jugador0012;;;;;100;12
12;;Jugador0011;;;;;100;11
11;;Jugador0010;;;;;100;10
10;;Jugador009;;;;;100;9
9;;Jugador008;;;;;100;8
8;;Jugador007;;;;;100;7
7;;Jugador006;;;;;100;6
6;;Jugador005;;;;;100;5
5;;Jugador004;;;;;100;4
4;;Jugador003;;;;;100;3
3;;Jugador002;;;;;100;2
2;;Jugador001;;;;;100;1
1;;Jugador000;;;;;100;0
